DATEE,NETWORTH
20220904,314532.9961
20220905,336422.4548
20220906,344380.7943
20220907,339673.2005
20220908,341235.9195
20220909,355744.1241
20220910,346558.0776
20220911,350137.7613
20220912,368046.7059
20220913,356627.5068
20220914,353058.3492
20220915,354462.369
20220916,362713.212
20220917,364090.5137
20220918,349553.1579
20220919,352673.7417
20220920,360800.7006
20220921,362096.2206
20220922,354773.2938
20220923,359124.6216
20220924,357046.9314
20220925,359251.7445
20220926,384614.7873
20220927,375442.5057
20220928,361800.6801
20220929,365606.2701
20220930,364291.3173
20221001,369352.752
20221002,360510.828
20221003,376258.6833
20221004,364954.4616
20221005,355761.618
20221006,354699.3845
20221007,354891.2201
20221008,360384.7128
20221009,349798.8402
20221010,365059.3726
20221011,364960.547
20221012,361771.5831
20221013,351372.563
20221014,343171.7703
20221015,353452.8628
20221016,348407.8181
20221017,355581.3306
20221018,352008.6944
20221019,351450.6239
20221020,345955.4694
20221021,344276.2818
20221022,352723.7216
20221023,349303.0532
20221024,339102.516
20221025,350068.7398
20221026,364458.1182
20221027,352883.9983
20221028,344418.289
20221029,345382.4538
20221030,339125.7698
20221031,354883.7471
20221101,343170.1118
20221102,350241.4748
20221103,342285.6688
20221104,345106.7422
20221105,334503.4303
20221106,331651.6298
20221107,319943.8062
20221108,334575.6768
20221109,337020.5517
20221110,353821.589
20221111,350918.2998
20221112,333103.2725
20221113,327567.426
20221114,336293.9006
20221115,345565.9853
20221116,339114.9727
20221117,341516.6627
20221118,333748.5424
20221119,332604.9974
20221120,326867.3517
20221121,329637.7641
20221122,322847.0933
20221123,320308.3794
20221124,314087.4033
20221125,352855.7623
20221126,335796.4547
20221127,324797.8435
20221128,336268.1573
20221129,327740.1624
20221130,335244.1996
20221201,333847.3668
20221202,330878.4732
20221203,333405.5628
20221204,316115.3867
20221205,326906.3782
20221206,320202.9076
20221207,299365.0087
20221208,298701.4719
20221209,318061.1538
20221210,310276.4219
20221211,313222.8925
20221212,318485.5188
20221213,311328.6162
20221214,304869.2993
20221215,310304.6592
20221216,306328.4158
20221217,304256.4177
20221218,300326.6807
